id,full_text,Stigmatizing,Anti-stigmatizing,News/Facts/misinformation,Political ,other,comments,Number of assigned labelles,,,
1219858006495490048,"https://t.co/vgP6i8wxRI
#WuhanCoronavirus #WuhanSARS #WuhanPneumonia 
#CCP's bad to let virus spread!
Plus, #HKgov's fear 2 announce the very truth &amp; quarantine at high-speed rail from mainland!
#CCP_is_terrorist 
do not go 2 mainland &amp; wear a n95 mask if you r coming 2 #HK!",,,,1,,,1,,number of stigmatizing tweets,123
1219865821679362048,"CDC said the man arrived in the US on January 15 and later sought treatment after developing flu-like symptoms. #maltawinds #UnitedStates #WuhanOutbreak 
https://t.co/0F8CUFlrq1", ,,1,,,,1,,number of anti-stigmatizing tweets,19
1219913783880994816,"[Breaking in HK] As reported by Stand News HK, a illness case was confirmed as Wuhan Pneumonia. The patient entered HK through China Express Rail and was sent to Queen Elizabeth Hospital due to suspected syndromes.
#ChinesePneumonia #WuhanPneumonia #WuhanVirus #WuhanCoronavirus", ,,1,,,,1,,number of news/facts/misinformation tweets,4974
1219914930087849985,Thanks #China #Beijing for lying to the world about this and making it worse. #ChinaPneumonia #coronovirus #WuhanPneumonia #WuhanCoronavirus #VirusChina #chinazi  #ChinaLies https://t.co/cZTGJrsE61,,,,1,,,1,,number of political tweets,1211
1219941316429111296,"More #BREAKING: The Chinese family of five arrived in Hong Kong via the high-speed rail to take a connecting flight to Malaysia. While the patient stayed in Hong Kong to seek medical help due to fever, the rest continued their journey: @hk01official. #WuhanCoronavirus #WuFlu", ,,1,,,,1,,"other
(opinion, question, ad, pray, donation, ...)",2506
1220012654883852288,"Irresponsible #Wuhan Chinese bypass Paris’s immigration body temperature check with meds while she was having fever.

#WuhanCoronavirus #wuhanvirus #WuhanSARS #WuhanOutbreak #China #ChinaPneumonia #China_is_terrorist https://t.co/6r28tNNKLR",,,1,,,,1,," (double labels)
 News/Facts/misinformation & political",70
1220013158837784576,Action not equal to the speech in press conference. This is traditional CCP’s attitude which always hidden the truth and no lesson learning after several failures!!!!! This is the reason #hongkongers against #CCPChina #China_is_terrorist #WuhanCoronavirus #WuhanSARS https://t.co/EMmTVy4JFy,,,,1,,,1,," (double labels)
News/Facts/misinformation & stigmatizing",10
1220022213241462784,"News Media are reporting ""News"" with three day old infection/death numbers...meanwhile , in the real world ,440+ infected in China alone 
/ 17 deaths caused by the #wuhanpneumonia #wuhanflu #chineseflu #Norovirus 
#2019-ncov #novelcoronavirus #epidemic #pandemic #deadly # virus", ,,1,,,,1,," (double labels)
political and stigmatizing",6
1220022585498505216,"News Media are reporting ""News"" with three day old infection/death numbers...meanwhile , in the real world ,440+ infected in China alone / 17 deaths caused by the #wuhanpneumonia #wuhanflu #chineseflu #Norovirus #2019-ncov #novelcoronavirus #epidemic #pandemic #deadly # virus", ,,1,,,,1,,"(double labels)
News/Facts/misinformation & anti-stigmatizing ",2
1220031198132568065,"First case of Wuhan Coronavirus in U.S. found north of Seattle, January 21, 2020 #ZacharyKHubbard with your Gematria broadcast.  https://t.co/XIOgrJGVUf #Wuhan #WuhanSARS #WuhanPneumonia #WuhanCoronavirus #wuhanvirus #Seattle #CoronavirusScare #coronovirus", ,,1,,,,1,,,
