1230332475290710016,Memutuskan hubungan apapun dengan komunis #chinazi pasti menguntungkan bangsa Indonesia. https://t.co/2HXdD0ktAA,chinazi,https://twitter.com/geloraco/status/1230305261862051840,in,Thu Feb 20 03:24:55 +0000 2020,830626105,Blitzkrieg,,,,"NO SEPILIS, NO CUKONG TAMAK"
1230332483679293441,"#Korean people should start noticing #HKPolice doing #selfie in full protective gears - but actually doing nothing during the #WuhanOutbreak!

#nCoV #WuhanCoronavirus #WuhanPneumonia https://t.co/ieOKnOvuj6",Korean HKPolice selfie WuhanOutbreak nCoV WuhanCoronavirus WuhanPneumonia,https://twitter.com/P9HbabpMSVUebqN/status/1230238960573538306,en,Thu Feb 20 03:24:57 +0000 2020,95928253,✋🏼😿🍐🐴🀄️🐟💩😬,,,,Hong Kong
1230333031933603840,"RT @TibetPeople: #China is attempting to hide its crimes in #WuhanOutbreak, this week #CCP has declined @WHO to visit epicenter of #COVID19…",China WuhanOutbreak CCP COVID19,,en,Thu Feb 20 03:27:07 +0000 2020,1320230766,Earthling 😷🌐✌🍀💕 Justice Matters,,,,Burnt Arse end of planet 
1230333172593897474,"#COVID2019 #Coronavirus 
3M Particulate Respirator 8210, N95 Coronavirus Mask (20 Pack)-&gt;https://t.co/g4w8UBCXkR

- #CoronavirusOutbreak #coronaoutbreak #wuhanflu #chinaflu #flu #virus  #coronavirususa  #2019nCoV #COVID19 #hongkong #singapore #Japan",COVID2019 Coronavirus CoronavirusOutbreak coronaoutbreak wuhanflu chinaflu flu virus coronavirususa 2019nCoV COVID19 hongkong singapore Japan,http://amzn.to/2OhafAb,es,Thu Feb 20 03:27:41 +0000 2020,1208128613574496257,10TechPro,,,,New York
1230333677873156096,#chinazi #antichrist https://t.co/HWtHQUekqr,chinazi antichrist,https://twitter.com/CBNNews/status/1230251226471784448,und,Thu Feb 20 03:29:41 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230333759737810944,"Check out this Amazon deal: Clorox Healthcare Fuzion  Cleaner Disinfectant, Spray, 32 Ounce Spray Bottle https://t.co/G96n9PzEYi  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19",ad coronavirus coronaoutbreak wuhanflu chinaflu flu virus CoronavirusOutbreak coronaviruswuhan 2019nCoV COVID19,https://amzn.to/2V76W2v,en,Thu Feb 20 03:30:01 +0000 2020,846210311631851520,Q Style ⭐️⭐️🇺🇸🇺🇸,,,,United States
1230333770378682368,"Can China’s private bookstores survive the coronavirus outbreak? #China #china #Coronarivus #ChinaCoronaVirus #WuhanCoronavirus #WuhanVirus #WuhanPneumonia #COVID19 #COVID_2019 #ChinaVirus #CoronavirusOutbreak 
https://t.co/cq8W8BVLSQ https://t.co/ZlGsC1Tl2m",China china Coronarivus ChinaCoronaVirus WuhanCoronavirus WuhanVirus WuhanPneumonia COVID19 COVID_2019 ChinaVirus CoronavirusOutbreak,https://buff.ly/2ubchuJ,en,Thu Feb 20 03:30:04 +0000 2020,1087574742637326336,SCMP Economy,,,,Hong Kong
1230334389344583680,"#covid19 #coronavirus #WuFlu 2 deaths from ""Diamond Princess"", Yokohama... sad. RIP.",covid19 coronavirus WuFlu,,en,Thu Feb 20 03:32:31 +0000 2020,20551473,tim miller,,,,"honolulu, hi"
1230334495821307907,China announces biggest drop in new virus cases in almost a month https://t.co/0iwQOyarBb #huebi #China #coronavirus #ChinaCoronaVirus #CoronavirusOutbreak #Covid19,huebi China coronavirus ChinaCoronaVirus CoronavirusOutbreak Covid19,https://www.hongkongfp.com/2020/02/20/china-announces-biggest-drop-new-virus-cases-almost-month,en,Thu Feb 20 03:32:56 +0000 2020,3071162052,Hong Kong Free Press HKFP,,,,Hong Kong
1230334884457132032,Xi Jinping’s coronavirus power grab is endangering public health in Hong Kong https://t.co/E39PQVgEho #China #coronavirus #ChinaCoronaVirus #CoronavirusOutbreak #Covid19 @RepTedYoho @hk_watch,China coronavirus ChinaCoronaVirus CoronavirusOutbreak Covid19,https://www.hongkongfp.com/2020/02/20/xi-jinpings-coronavirus-power-grab-endangering-public-health-hong-kong,en,Thu Feb 20 03:34:29 +0000 2020,3071162052,Hong Kong Free Press HKFP,,,,Hong Kong
1230334982402363393,#chinazi #WuhanCoronavirusOutbreak https://t.co/lZ9p1jyNgm,chinazi WuhanCoronavirusOutbreak,https://twitter.com/SenTomCotton/status/1230208951272267779,und,Thu Feb 20 03:34:52 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230335129429663744,"Zero new cases in #Xiamen for 3rd day
#coronavirus
#ChinaCoronaVirus
#Corona
#china
#WuhanCoronavirus
#coronaviruschina
#WuhanOutbreak 
#WuhanPneumonia 
#Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/WcJAOnwQc9",Xiamen coronavirus ChinaCoronaVirus Corona china WuhanCoronavirus coronaviruschina WuhanOutbreak WuhanPneumonia Wuhan CoronaVirusOutbreak CCP ncov2020 CoronaVirusFacts COVID19 VirusCorona outbreak virusoutbreak,https://twitter.com/xmenglish/status/1230334315742937088,en,Thu Feb 20 03:35:28 +0000 2020,1863660890,Joseph Thavaraja,,,,SRI LANKA
1230335212766269440,#WuFlu #WuhanPneumonia #WuhanLockDown #WuhanCoronavirus #CoronaOutbreak #coronavirus #WuhanFlu #china #nCoV_2019 #2019n_CoV #covid19 #NovelCoronavirus #coronaviruschat #hubei #Epidemic #epidemiology #SARSCov2 #coronavirusoutbreak #Covid2019 https://t.co/3QKH1imVZC,WuFlu WuhanPneumonia WuhanLockDown WuhanCoronavirus CoronaOutbreak coronavirus WuhanFlu china nCoV_2019 2019n_CoV covid19 NovelCoronavirus coronaviruschat hubei Epidemic epidemiology SARSCov2 coronavirusoutbreak Covid2019,https://twitter.com/BNODesk/status/1230320994298073088,und,Thu Feb 20 03:35:47 +0000 2020,75207629,Christine AKA Ishtar,,,,"Maryland, USA"
