1273964225342423040,"Tone-deaf or tuned-in #Coronavirus proves a minefield for (movie) celebrities
by #Reuters - Apr 3, 2020

2:25

ViD https://t.co/0aStrhzqrO

#WuhanVirus #COVID19 #CCPVirus

qt-covid19-vids-119 by #BorderObserver https://t.co/yIpwatc1yc",Coronavirus Reuters WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 13:01:55 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1273964455060267008,"@ChinaPlusNews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/mtYswz2G9v",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:02:49 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273964572895043584,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/0SOdcGZTNU",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:03:17 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273964678553559040,"#CKMKB -- यानी ""चीन के माल का बहिष्कार"" ....!
बाकी आप जो समझ रहे है वो भी सही है !

#anti_conversion_law #जनसंख्या_नियंत्रण_कानून #HinduUnitedAgainstTerror   #Radical_Islamic_Terrorism
 #IndiaStandWithArmyAndModi #BoycottChineseProduct
#ChineseProductsInDustbin #BoycottChina https://t.co/rvU4Sjv11J",CKMKB anti_conversion_law जनसंख्या_नियंत्रण_कानून HinduUnitedAgainstTerror Radical_Islamic_Terrorism IndiaStandWithArmyAndModi BoycottChineseProduct ChineseProductsInDustbin BoycottChina,hi,Fri Jun 19 13:03:43 +0000 2020,165892505,Boycott Chinese Products 9926902200,75.96818400000002,22.6714825,"Indore, India, India","Indore, India"
1273964923182297096,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/GjjFnQn7o0",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:04:41 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273964941662248960,It’s #Chinesevirus https://t.co/6HJYs3OYqy,Chinesevirus,und,Fri Jun 19 13:04:45 +0000 2020,755239318713671684,Kamal Tiwari,,,,"New Delhi, India"
1273965001028644865,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/4C4ISL8SAz",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:05:00 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273965034591444992,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/KYuLVvY4Ip",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:05:08 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273965347855634434,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/fRoGCS1PAj",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:06:22 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273965642824077312,"Because your the Godfather of this virus that why you know better , do you specially designed for west ? To survive and thrive in cold ? #ChinaLiedPeopleDied https://t.co/iQZ8SPHZqS",ChinaLiedPeopleDied,en,Fri Jun 19 13:07:33 +0000 2020,1201039763869847552,♕James Bond 🏴‍☠️,,,,Jupiter
1273965845543346176,"@AusHCIndia @tanvi_madan Yeh, we know the culprit behind it, #ChineseVirus #BoycottChina #indiawithaustralia",ChineseVirus BoycottChina indiawithaustralia,en,Fri Jun 19 13:08:21 +0000 2020,867788688,Karan Rawat,,,,"New Delhi, India"
1273966061059297281,"@globaltimesnews We need sanctions against China

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/g6mh6ITzUN",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:09:12 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273966134266433536,"@globaltimesnews China is fucking wore, a sly country who only know how to spread corona in world and murder innocent ppls around the world. 

#BoycottChineseProducts 
#BoycottChina 
#BoycottChineseProduct",BoycottChineseProducts BoycottChina BoycottChineseProduct,en,Fri Jun 19 13:09:30 +0000 2020,930950171600478209,Haryana ek Haryanvi ek,,,,India
1273966352001196033,"@globaltimesnews China is fucking wore, a sly country who only know how to spread corona in world and murder innocent ppls around the world. 

#BoycottChineseProducts 
#BoycottChina 
#BoycottChineseProduct",BoycottChineseProducts BoycottChina BoycottChineseProduct,en,Fri Jun 19 13:10:22 +0000 2020,930950171600478209,Haryana ek Haryanvi ek,,,,India
1273966543114665984,"@globaltimesnews China is fucking wore, a sly country who only know how to spread corona in world and murder innocent ppls around the world. 

#BoycottChineseProducts 
#BoycottChina 
#BoycottChineseProduct",BoycottChineseProducts BoycottChina BoycottChineseProduct,en,Fri Jun 19 13:11:07 +0000 2020,930950171600478209,Haryana ek Haryanvi ek,,,,India
1273966591193968642,"@globaltimesnews China is fucking wore, a sly country who only know how to spread corona in world and murder innocent ppls around the world. 

#BoycottChineseProducts 
#BoycottChina 
#BoycottChineseProduct",BoycottChineseProducts BoycottChina BoycottChineseProduct,en,Fri Jun 19 13:11:19 +0000 2020,930950171600478209,Haryana ek Haryanvi ek,,,,India
1273966596038385666,"World virus        ----#coronavirus
Bollywood virus ----#KaranJohar
Mobile virus       ----#TikTok
World map virus----#china #PKMKB
Product virus     ----#MadeinChina
Citizen virus ---- helping these to grow
Don't be a virus, let's senitise country
#tiktokbanindia #BoycottChina",coronavirus KaranJohar TikTok china PKMKB MadeinChina tiktokbanindia BoycottChina,en,Fri Jun 19 13:11:20 +0000 2020,1242673109448052736,Gaurav Chauhan,,,,"Varanasi, India"
1273966658055372800,"@globaltimesnews China is fucking wore, a sly country who only know how to spread corona in world and murder innocent ppls around the world. 

#BoycottChineseProducts 
#BoycottChina 
#BoycottChineseProduct",BoycottChineseProducts BoycottChina BoycottChineseProduct,en,Fri Jun 19 13:11:35 +0000 2020,930950171600478209,Haryana ek Haryanvi ek,,,,India
1273966966575955968,"We need sanctions against China.

#CKMKB_Forever #CKMKB #FreeTibet #FreeTaiwan #CCPVirus #ChineseVirus #HindiChiniByeBye #BoycottChineseProducts https://t.co/SuupZyYGh7",CKMKB_Forever CKMKB FreeTibet FreeTaiwan CCPVirus ChineseVirus HindiChiniByeBye BoycottChineseProducts,en,Fri Jun 19 13:12:48 +0000 2020,1256364496823767041,Ph3minist Queen,,,,Self-Isolation
1273967303554551809,@globaltimesnews #Chinesevirus not corona viruse....,Chinesevirus,en,Fri Jun 19 13:14:08 +0000 2020,1597382689,Vivek goswami,,,,India
1273967340053581825,"#BoycottChina Taking medicine will be tough but cures disease. Time has come to cure disease.India was ruled powerful military n economically, today free becoz of difficult but determined choices we made then.Australia, Hong Kong, Vietnam, Taiwan did lets stand upto virus disease https://t.co/T3zTVccQwf",BoycottChina,en,Fri Jun 19 13:14:17 +0000 2020,17504097,kartiktv,,,,New York
1273967487487324163,"#CrushDragonEconomy 
#ChinaVirus #chinaisvirus 
#BoycottChina 
#chinaischeater https://t.co/NXGKXm7Fqy",CrushDragonEconomy ChinaVirus chinaisvirus BoycottChina chinaischeater,und,Fri Jun 19 13:14:52 +0000 2020,137989685,Nitin Kumar Kintali,77.5584482,12.92311465,"Bengaluru South, India, India",
1273967933685813249,"💢川普通共？3點證博爾頓錯了；三峽宜昌以下，多少地方有險？再“封城”，北京隔離黨校也住滿；夏威夷會，中共聲明兩處耍流氓；人大開審國安法！共軍打印... https://t.co/36MTWNJuAn 

#CCPVirus #COVID19
#中共病毒 #习近平病毒 #新冠病毒 #生化武器 #李文亮 #李泽华 #方斌 #陈秋实 #艾芬🆘🦠🧬",CCPVirus COVID19 中共病毒 习近平病毒 新冠病毒 生化武器 李文亮 李泽华 方斌 陈秋实 艾芬,zh,Fri Jun 19 13:16:39 +0000 2020,234855418,韩荣利,,,,巴黎
1273968353523228673,"@kathy2537 @KTHopkins Ok ""Kathy 🇬🇧 #CCPVirus China caused this pandemic"" I'm sure she will notice you oh wait she doesn't give a shit about you",CCPVirus,en,Fri Jun 19 13:18:19 +0000 2020,1247424590663618563,have you ever won the treble have you fuck,,,,in Chris' circle
1273968725167878145,@Jax18W @amandpms @_ReaalAmerican_ @mattgaetz @RepMattGaetz #ChinaVirus #ChinaLiedAndPeopleDied https://t.co/gXbdvQ09cQ,ChinaVirus ChinaLiedAndPeopleDied,und,Fri Jun 19 13:19:47 +0000 2020,23717374,Living in Idiocracy,,,,"Tampa, FL"
