1262129658931355653,"#CCPVirus #ChinaLiedPeopleDie #Coronakrise 
KPCh-Virus (SARS-CoV2) zeigt: Vertrauen in KP-China ist gefährlich. Verbindung minimieren!

https://t.co/XTJT2q76jv https://t.co/sc3k90Zgnu",CCPVirus ChinaLiedPeopleDie Coronakrise,de,Sun May 17 21:15:34 +0000 2020,3909867868,Erik Rusch,,,,Berlin
1262129715411685376,#BorisJohnson #who #knowthetruth #china #WuhanVirus #WuhanCoronavius #ChinaVirus #ChinaLiedAndPeopleDied #ChinaMustExplain #MakeChinaPay,BorisJohnson who knowthetruth china WuhanVirus WuhanCoronavius ChinaVirus ChinaLiedAndPeopleDied ChinaMustExplain MakeChinaPay,und,Sun May 17 21:15:48 +0000 2020,892238490414399488,Miss Conduct,,,,"New South Wales, Australia"
1262129990868574208,"Parece q el Embajador se suicidó, al ver q los Surcoreanos no pudieron, ingresar y q Israel está venciendo al Virus, Uds. saben q China es aliada d Irán. #BoycottChina",BoycottChina,es,Sun May 17 21:16:53 +0000 2020,1031760984568942600,Raul Moreno - Copito,,,,Lima-peru
1262130180627169280,"Perhaps we need to put pressure on china!

#ChinaLiedPeopleDied https://t.co/pUjEHRz2Of",ChinaLiedPeopleDied,en,Sun May 17 21:17:38 +0000 2020,3718010115,Avinash N,,,,"London, England"
1262130595984846849,"#WakeUpAmerica 
#TheGreatAwakening 
#Chinesevirus 
#Plandemic https://t.co/hTn8VtBzd7",WakeUpAmerica TheGreatAwakening Chinesevirus Plandemic,und,Sun May 17 21:19:17 +0000 2020,1152391195995197440,Sometimes you must SHOW them....,,,,🇺🇸
1262136202888491008,RT @annel_jo: It came from a Lab people! #ChinaLiedAndPeopleDied #DefundTheWHO https://t.co/igpApvd5eq,ChinaLiedAndPeopleDied DefundTheWHO,en,Sun May 17 21:41:34 +0000 2020,74081104,Susan_ishere ✝ 🇦🇺 Q,,,,"Brisbane, Qld"
1262140707722199040,#ChinaLied https://t.co/ylL8r4e19O,ChinaLied,und,Sun May 17 21:59:28 +0000 2020,1284984632,mjhubbard🇺🇸CHINA LIED,,,,"Tennessee, USA"
1262140984537878534,"The #CDC's mission is to use science to further the public health. 

Instead, it plays #politics, and the public health suffers.

https://t.co/3YuPP5jU6t

#pandemic #RealityMatters #CCPVirus https://t.co/JRiE7Woqjx",CDC politics pandemic RealityMatters CCPVirus,en,Sun May 17 22:00:34 +0000 2020,2894982337,Peter Nayland Kust,,,,"Cypress, Texas"
1262141188808859651,"Meanwhile in #Finland 

#COVIDー19 #COVID19 #COVID #COVID2019 
#COVID19FI 
#SARS_COV_2
#ChinaMustExplain #ChinaLiedPeopleDied 
#korona #koronafi #koronavirusfi 
#koronakriisi #koronasuomi https://t.co/9S50d4uNHp",Finland COVIDー19 COVID19 COVID COVID2019 COVID19FI SARS_COV_2 ChinaMustExplain ChinaLiedPeopleDied korona koronafi koronavirusfi koronakriisi koronasuomi,en,Sun May 17 22:01:23 +0000 2020,974627550,rlc mac,,,,Stockholm
1262141328806367235,"#CoronaVirus
#CarrieLam
#ChinaCoronaVirus
#Corona
#WuhanCoronavirus
#coronaviruschina
#virus
#WuhanOutbreak 
#WuhanPneumonia 
#武汉市 #武汉起义 #武汉肺炎 #武汉加油 #汉口河滩
#Wuhan #Globalhealth #CoronaVirusOutbreak   #LiWenliang #outbreak #COVID19 #CCP #ChinaVirus
#usa #Chinese https://t.co/X9408pVNlS",CoronaVirus CarrieLam ChinaCoronaVirus Corona WuhanCoronavirus coronaviruschina virus WuhanOutbreak WuhanPneumonia 武汉市 武汉起义 武汉肺炎 武汉加油 汉口河滩 Wuhan Globalhealth CoronaVirusOutbreak LiWenliang outbreak COVID19 CCP ChinaVirus usa Chinese,und,Sun May 17 22:01:56 +0000 2020,1257405990,Zia Ul Haq,,,,"Gujranwala, Pakistan"
1262141482930262017,"Officials in Northeastern China Sacked as Locals Describe Escalating #CCPVirus Outbreak

“All the diagnosed patients [at Shulan police bureau] are in mild condition, but we are in a panic because the virus spreads so quickly.”

https://t.co/cs8T9OzFOl",CCPVirus,en,Sun May 17 22:02:33 +0000 2020,49099638,Mother Voorhees ⭐️⭐️⭐️,,,,Camp Crystal Lake
