id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1251782626139987968,1,"@ErinOTooleMP Thanks for your support to Hong Kong! When the whole world is fighting against #COVID 2019, China seized this chance to suppress democracy, who can guarantee the international community isn’t the next target? #StandWithHongKong https://t.co/rPppa49xG1",Sun Apr 19 08:00:09 +0000 2020,emondora191,168,0,0,,,,
1251782727243894785,1,"@DennisOnyangoGM Before Covid,  your prediction would be true. I will put it at 20 years or less. They now control all sectors of economy including America's. Recently, they threatened to withhold Supplies to USA if they continued calling it Chinese virus. Every country manufacturers from China.",Sun Apr 19 08:00:33 +0000 2020,robert_chep,48,0,0,,,,
1251782743848914945,1,@AJEnglish The recent arrests of prominent pro-democracy figures show Hong Kong puppet government focuses on suppressing our freedom rather than #ChineseVirus . The free world must act now to protect Hong Kong and stop China's aggression once and for all.,Sun Apr 19 08:00:37 +0000 2020,heung_hang,387,0,0,,,,
1251782760127066113,1,@HuXijin_GT Cheap Chinese Puppet trying to pass on blame for the China Virus.,Sun Apr 19 08:00:41 +0000 2020,arkadiu31481384,21,0,0,,,,Canada
1251782860765265920,1,"@Tom_Fowdy ideally, they are hoping only Chinese died from the virus, and no one else but China gets it. so they can keep bashing China and paint it as punishment from God.",Sun Apr 19 08:01:05 +0000 2020,WenjingYuan2,4303,0,27,,,,Canada
1251782945825751041,1,"@IndradeepKhan Where did you get 5000? 

The authorised private labs are procuring at 800-850 from Chinese suppliers. 

Overall, at Rs.4500 per test making a gross margin of 50%+ which is a pretty solid GM, given we are dealing with pandemic related test.",Sun Apr 19 08:01:25 +0000 2020,sidismx,101,0,0,,,,India
1251782954046509056,1,@esl_mariebelle While other South East Asian countries are reporting ZERO Deaths and Zero new cases such as Vietnam Cambodia Myanmar Thailand South Korea international news reported Maetial law lockdown in the phils! We are the only Country who initiated a military solution to a public health,Sun Apr 19 08:01:27 +0000 2020,migstower,276,0,0,,,,
1251783012175536128,1,@DidBushDo @johnpecco1 @chinaorgcn Hmmmm. Every Chinese in Africa will pay dearly for this. Virus country,Sun Apr 19 08:01:41 +0000 2020,BiafraismyHope,28,0,0,,,,Nigeria
1251783045683843073,1,Africans should think wiser. Western media is misleading us and pulling us to the USA-China supremacy war! https://t.co/0SAAPa5TFm,Sun Apr 19 08:01:49 +0000 2020,Oswaldini1,2195,2,1,,,,Rwanda
1251783071277256710,1,"@Frankie_XoXoX_ @windlake2 @SolomonYue @MukulAgarwal66 With only 9 million people in Wuhan, how could 14 million people die? Who was deceived? If China does n’t die, more people ca n’t get rid of the US. I watched these fake news and laughed for a long time.",Sun Apr 19 08:01:55 +0000 2020,fivefourseven4,1,0,0,,,,
1251783100302065664,2,@chuckwoolery All DIMS states were funded and occupied by Chinese food and biological warfares and Covid-19 virus &amp;Corrupt money.,Sun Apr 19 08:02:02 +0000 2020,AVijay41595542,515,0,0,,,,Singapore
1251783117599395840,2,"China must pay the price of suffering it has brought to the world. #Corona
#COVID19 #IndiaFightsCorona

Germany’s largest paper to China's president: You're endangering the world - The Jerusalem Post https://t.co/SS1Zf1K9ba",Sun Apr 19 08:02:06 +0000 2020,HarshVatsa7,321,0,1,,,,"Dehradun, India"
1251783125551575041,1,"@emilyrauhala @ShibaniMahtani Indeed, it didn't take any proactive actions in containing the #CCPVirus.  It refused to ban the entry of tourists from #CCPChina. It also failed to ensure the stable supply of surgical masks. 

Why isn't the severe outbreak the case in HK ? Because we don't trust the government. https://t.co/1gGLdb6tmy",Sun Apr 19 08:02:08 +0000 2020,Never_Kowtow,981,0,0,,,,香港
1251783145940230148,1,Sign The Pledge: Boycott China over their handling of coronavirus: https://t.co/jpz9iI8OK0,Sun Apr 19 08:02:13 +0000 2020,heleno63,10,0,0,,,,
1251787554376110081,1,"remember this: on January 24, he praised Chinese ""transparency"" 
https://t.co/0lKeYDtOJz",Sun Apr 19 08:19:44 +0000 2020,anneapplebaum,262920,58,156,,,,"Warsaw, London, Washington"
1251787583543218178,1,"@Onke_Mweza Nobody saying fuck white people, there I said it! Fuck caucasians for this pandemic in SA!",Sun Apr 19 08:19:51 +0000 2020,AlExtraBM,717,0,1,,,,Johannesburg
1251787596117749765,1,"This is the truth, not something top politicians put like China, wuhan Obama,etc! Covid-19 is the enemies all the global should be fight for. https://t.co/oQKzHbo9Bo",Sun Apr 19 08:19:54 +0000 2020,Jun92599787,4,0,0,,,,
1251787604946804737,1,"Coronavirus: inside China’s ‘Wild West’, where ‘mask machines are like cash printers’ https://t.co/rTYvfUwc3U",Sun Apr 19 08:19:56 +0000 2020,NLChinaBiz,121,1,1,,,,the N
1251787622147653633,1,"@RKserios @XHNews @KMutisi Every country you go to you will see Chinese people yet you treat foreigners like shit. You think black people came to China with Covid-19? You are wrong, please sort out the mess you brought to the world.",Sun Apr 19 08:20:00 +0000 2020,mapipimakuru,647,0,0,,,,"Harare, Zimbabwe"
1251787676656648195,1,"@ladypatriot54 @DrTedros People in Taiwan,China play tricks. When the world needs to respond to the epidemic most, they will only play politics (Taiwanese acquire Canadian citizenship), and incompetent governments will blame who, China, Obama, journalists...",Sun Apr 19 08:20:13 +0000 2020,HenryLI97957128,0,0,0,,,,
1251787743648079874,1,"@DonaldJTrumpJr Trump is a DeathSentence. 

He gave OUR PPE to China 
He listened to Xi about virus although warned by https://t.co/9mpMHlExZt Xi lying. 
He did nothing for 70days for Stock highs. 
He set a Travel Ban that allowed &gt;40,000 Travelers from China. 

He said”You are on your own.”",Sun Apr 19 08:20:29 +0000 2020,SVictor70973566,232,0,0,,,,LA.  
1251787793900212225,3,"@MarcusPun @BennSteil @MaxBoot @bpolitics The ""mutations"" weren't from any pangolin. How stupid do they think we are? Wuhan has been working on corona for a decade with full West knowledge. Idiots leaked a tweaked bug by accident. That simple. Lab leaks before in China many times. Commies lie. CCP lies.",Sun Apr 19 08:20:41 +0000 2020,AmmoRiffic,471,0,1,,,,Minnesotastan
1251787798337785856,1,All China has to do is sell their Sterling Bonds and the UK economy would crumble. So this talk of this War on China is bullshit.  Don't  mess with China. https://t.co/ZdgIpsRNBy,Sun Apr 19 08:20:42 +0000 2020,delhi_dave,2762,1,2,,,,"London, England"
