id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1289350151396446208,1,Asian Americans are facing dual challenges during the coronavirus pandemic: surging unemployment and racism. https://t.co/H8X2nhYkfF - @NBCAsianAmerica,Sat Aug 01 00:00:05 +0000 2020,NBCNews,7769899,41,72,,,,"New York, NY"
1289350170962870272,1,@realDonaldTrump Nice one. Blame this on everyone but yourself. China isn’t at fault for why the U.S has the highest number of coronavirus cases. China wasn’t the one who left millions struggling and unemployed. It was YOU!!,Sat Aug 01 00:00:10 +0000 2020,amberkooka,0,0,0,,,,
1289350302768877568,2,"#Trump said #Mexico Would Pay for the WALL
And #China Was to blame for how he handled #Covid19 https://t.co/bR0Ntl6iYl https://t.co/MLPuLYE6BP",Sat Aug 01 00:00:41 +0000 2020,Njeanous,3635,0,0,,,,"California, USA"
1289350388651405313,1,"@Wesihcfan @jpklock @DenneyJoel @HubsFlorida @nechama215 @alexweprin @RepsForBiden Not the only one who's died, in China people ran to buy the drug when it was know it could b used as treatment for covid19, a woman also died from a heart attack, Chinese drs were using it 2c  if it was good as covid19 treatment in their studies they found a high incidence of",Sat Aug 01 00:01:02 +0000 2020,irinafowzry,1390,0,1,,,,Sunshine State. 
1289350643187154944,1,"#CCPVirus_JOKE

Why did the chicken cross the road?

So that Steve Bannon could say he died of #CoronaVirus

#WuhanVirus #COVID19

qt-covid19-jokes-001 by #BorderObserver",Sat Aug 01 00:02:02 +0000 2020,borderObserver,1323,0,0,,,,"El Paso, TX"
1289350721268092928,2,"@TheInc0g @punishsapphire @MrPumpkinFace1 You really want to cite WHO? You know, the people who china paid to hide and cover up the coronavirus until what? Feburary?",Sat Aug 01 00:02:21 +0000 2020,Relaxmye,64,0,2,,,,
1289350753367162881,1,"Yes, she said this about the country that lied about the coronavirus pandemic, enabling it to spread across the world.

Feinstein Says China Is 'Growing Into a Respectable Nation' https://t.co/0nujBFGrwd",Sat Aug 01 00:02:29 +0000 2020,marla_believes,6810,0,0,,,,
1289350872137232384,2,"#DianneFeinstein Lauds China as a ‘Respectable Nation’ in Senate Committee Hearing at the same time they're carrying out mass genocide against the Uyghur's, hiding their #COVID19 schemes, and threatening Japan, Hong Kong, India, and Taiwan.  https://t.co/cX1UZIx4i7",Sat Aug 01 00:02:57 +0000 2020,chasbottom,3137,2,4,,,,Illinois
1289351197577457664,3,"China calls US accusations of hacking to steal coronavirus vaccine data 'pure slander'. It’s CHINA’S FAULT ITS HERE STEAL THE VACCINE AND MASS PRODUCE IT IN GENERIC FORM . TO HELL WITH THEM COMMUNIST FUCKS! NO WAY THEY ARE PROFITING ON THEIR OWN DISEASE!

https://t.co/YEcj6yC77f",Sat Aug 01 00:04:15 +0000 2020,RShagnasty,9,0,0,,,,
1289351209187508226,1,"@JoeBiden If they did it your way there would be millions dead. You would have let more people come from CHina, you defended Nancy Pelosi encouraging people to go to china town since the virus is no issue.  You are a liar saying you could have done better.
https://t.co/unBWI7TdZi",Sat Aug 01 00:04:17 +0000 2020,ExcaliberXX,3908,0,0,,,,"Pennsylvania, USA"
