id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1232530738215608320,2,"Coronavirus may have leaked from Chinese lab

***
Latest News Updates",Wed Feb 26 05:00:01 +0000 2020,muchene_,1917,0,0,,,,
1232530733962416128,2,"@13373r_milk @WahGreg @JerrryGrey @59cf7a162d814fb @vanbadham Ok. So if China attacked Australia and New Zealand did everything they could to weaken Australia against China and tell everyone that Australia is just as bad as China, and lie about Australia, would you be fine with New Zealand or would you have to fight them off too?",Wed Feb 26 05:00:00 +0000 2020,Trish_Corry,6353,0,3,,,,Rockhampton
1232530742372114433,1,⚠️🦠 China’s Surveillance State Pushed to the Limits in Virus Fight - https://t.co/0TSclG9Upk CLICK to read 👈 Virus BREAKING Live News 24/7 ⏰ PLEASE RT and FOLLOW 🙏 #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,Wed Feb 26 05:00:02 +0000 2020,NewsbyMorB,31,0,0,,,,
1232530744876163075,1,@Perpetualmaniac I would listen to him in this case. In China &amp; Iran people have fallen over dead in the streets; they are transporting bodies directly from Chinese hospitals to crematoria - no funerals allowed. Hospital staff are dying from both the disease and total fatigue.,Wed Feb 26 05:00:03 +0000 2020,infooverload,2067,0,1,,,,United States
1232530776039788544,1,"My grandma hiked into China too, disguised as a boy (out of fear of becoming a comfort woman to Japanese soldiers), to escape the occupation. She returned to HK years later, missing out on what she said she needed at the time—an English education. https://t.co/K7azfFX9Rn",Wed Feb 26 05:00:10 +0000 2020,annehsu,611,0,6,,,,"Washington, DC"
1232530784222879744,1,"This action includes new sanctions against 5 entities/individuals in China &amp; Turkey for supporting Iran’s missile program. Chinese indiv. Luo Dingwen has also been involved in supplying sensitive items to Pakistan’s weapons program. https://t.co/xPdQ83OgG3
https://t.co/pzv7t3xMwo",Wed Feb 26 05:00:12 +0000 2020,eAsiaMediaHub,15949,3,3,,,,Asia Pacific
1232530788882812929,1,"The growing power struggle emerging between the US, China and Russia, are placing increasing pressure on US operations in Africa. Could a US slowdown or partial withdraw from African operations cause increased threats to Australia’s security?  https://t.co/0CfrohA02J",Wed Feb 26 05:00:14 +0000 2020,DefenceConnect,3324,0,0,,,,
1232530826384072704,1,"@CAugenthaler @PsychoMetalHed I have been for last 3 weeks now
Started an indoor garden too for microgreens etc
Shits about to get real.
Hasn't been a medical mask for sale in this town for 3 weeks I got what I could in the paint Dept at the hardware store... Lowe's by the way has sold all 3m masks to China",Wed Feb 26 05:00:22 +0000 2020,WPatriot2,4724,0,0,,,,
1232530864812281862,1,@coreypein Had someone yelling at me about China being communist today and I was like have you heard of Alibaba??,Wed Feb 26 05:00:32 +0000 2020,foxhoundintern,467,0,1,,,,Denver
1232530869270634498,1,Mike Pompeo accuses China and Iran of coronavirus cover-up - Washington Examiner https://t.co/OaPnZlM2tr https://t.co/H2sZGyslEA,Wed Feb 26 05:00:33 +0000 2020,AndyVermaut,30862,0,0,,,,"Diksmuide, België"
1232530878368186368,1,@Lizbeth528 @nickey1969 @realDonaldTrump STFU!  He shutdown Air Travel to/from China and the Dems called him a racist.,Wed Feb 26 05:00:35 +0000 2020,USWinsAgain,2319,0,0,,,,USA
1232530884403712003,1,Heavy selling in Asian markets as COVID-19 coronavirus threatens the global economy https://t.co/8iv2BOOJPC,Wed Feb 26 05:00:36 +0000 2020,spacebarshift,1013,0,0,,,,"Salem, OR"
1232530890951200771,1,@silverstonadict @davidalim @V2019N @PrimerdesignLtd The CDC is using the Qiagen lab equipment for testing Coronavirus now.  Qiagen has developed a Coronavirus test that is in final testing in china - just days away.   Yet the CDC says it needs three more weeks for its own version test.  Make sense?,Wed Feb 26 05:00:38 +0000 2020,MisterObvious4,172,0,1,,,,"Spring, TX"
1232530906272808960,1,"Lol they're not happy in India, US, Europe, Lebanon, Syria,  China,  Africa, Antarctica... pretty much to sum up when they have killed everybody else then they are not happy amongst themselves.... 😅 https://t.co/bSy7NfBTQ5",Wed Feb 26 05:00:42 +0000 2020,driventothewall,447,3,6,,,,Himalayas
1232530949147123712,1,"I believe CHINA was screwing around with bio chemicals to threaten TRUMP and it backfired. Because Trump is a bully, not a deal maker. https://t.co/GPcDSrXzFd",Wed Feb 26 05:00:52 +0000 2020,BEAbop9109,259,0,0,,,,"Texas, USA"
1232530992952307712,3,"How many dogs did China kill with their affordable dog treats? Asking for a friend... 

You get what you pay for. I'll take American made ANY day! Employ American, Buy American! https://t.co/BhzSFkfNeq",Wed Feb 26 05:01:02 +0000 2020,AnonArmy8,22374,0,0,,,,Qmerica #SaveAmerica
1232531003358318592,1,"@UnhingedTodd @Mike22621360 @RFA_Chinese The most common sentence of CCP spokesmen is “Have you ever been to China?”Actually,anyone, even north koreans knows that the Chinese don't have freedom of speech.",Wed Feb 26 05:01:05 +0000 2020,yohhikacheng,93,1,1,,,,"Fujiidera-shi, Osaka"
1232531013840113665,2,"The outbreak of #coronavirus in #China and the fears associated with it are seen impacting poultry sector in both Telugu states, which saw a decline in the offtake of chicken meat in the past few weeks. 

#Corona 
#NovelCoronavirus 
#Hyderabad https://t.co/eqaH7aJqD9",Wed Feb 26 05:01:07 +0000 2020,Pioneer_TS_AP,587,0,1,,,,
1232536044882583553,1,"I just ran across this... 

Nearly 10k Military Personnel From 110 Nations In #Wuhan China Weeks Before Coronavirus Outbreak! 

Nearly 10k Military Personnel From 110 Nations In Wuhan China Weeks Befo... https://t.co/86dpqn3z9i via @YouTube",Wed Feb 26 05:21:07 +0000 2020,MISSY_MERCY777,349,0,0,,,,
1232536049190154240,1,"@mikehammarceo @Cernovich @realDonaldTrump I love it, people are rushing back to US factories because Tariffs are making it competitive, Corona is shutting down factories overseas, and the Chinese government is letting factories steal and use your creations. Keep it in the US",Wed Feb 26 05:21:08 +0000 2020,derzubi,83,0,2,,,,
1232536099962195968,1,@BooksPajamas @Hyperactivity0 @gaywonk Biden’s foreign policy answers were terrible. He said he’s going to fight the coronavirus by forcing China to let us come in and examine the situation. All of his answers were bully answers. We’re not realistically gonna “force” China to do anything.,Wed Feb 26 05:21:20 +0000 2020,brockaletti,574,0,27,,,,"Virginia, USA 🇺🇸"
1232536105154535424,1,"@SolomonYue @SpeakerPelosi @tedcruz @marcorubio @UN @RedCross @lionsclubs @AmChamHK @ABAesq @hrw @UN_HRC @pressfreedom @10DowningStreet @INTERPOL_HQ @GoldmanSachs @MorganStanley @jpmorgan @MerrillLynch @IMFNews @wto @wef @WhiteHouse @IndexCensorship @BorisJohnson @HouseDemocrats @WWF @sgfintechfest @PMOIndia @CanadianPM @JPN_PMO @NZNationalParty @iingwen @WorldBank @AmerBanker @WHO @DubaiPressClub @cityusucbc @ABC @WSJ @FoxNews @Reuters @RoyalFamily @UKHouseofLords @HouseofCommons @DominicRaab @UniofOxford @UN_Women @KenRoth @chillilucas_hk cool, Fire Extinguisher vs corona.
sometimes you have to learn to be an evil in China.
I'm quitting it, you?
https://t.co/y90lpAVdCv",Wed Feb 26 05:21:21 +0000 2020,kuma_meow,497,0,0,,,,Planet Meow
1232536151564656640,1,Man made and man spread to deal Hong Kong by communist China 😎🇺🇸 https://t.co/6PAjpJ4R22 https://t.co/1qDMYX6hZH,Wed Feb 26 05:21:32 +0000 2020,BourdinFred,6575,2,1,,,,Florida
1232536171193913344,1,Philippines Is Beginning To Pay The Price For Duterte's South China Sea Flip-Flops https://t.co/XIuTwCUFt2,Wed Feb 26 05:21:37 +0000 2020,RiclamigoB,67,1,2,,,,
1232536172028555264,1,"Our university closed
until 3/16
Where's my summer vacation
Fuck chinese corona",Wed Feb 26 05:21:37 +0000 2020,Left_osu,789,0,4,,,,
