id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1220435865140449280,1,Wuhan coronavirus started in a Chinese wet market: photos - https://t.co/g5mcC2LQVO #VIXC #LatestComments,Thu Jan 23 19:59:19 +0000 2020,VIXC_News,688,0,0,,,,"Washington, DC"
1220436006433972227,1,"https://t.co/08TwMneZuV
CCP ordered shutdown of airline, trains, bus service, and taxi in #Wuhan. People are short of water, food, medical attention, and information.CCP military has blocked all exits from Wuhan. This is NOT a public health measure, instead a plot of massacre‼️🆘 https://t.co/32stxcQsGt",Thu Jan 23 19:59:53 +0000 2020,yanlun70,766,1,0,,,,
1220435741588754434,1,"Where does the virus come from?

Preliminary investigations by Chinese authorities suggested that the Wuhan coronavirus was contracted from snakes, which were on sale at the Huanan seafood market in Wuhan, Hubei Province, China.",Thu Jan 23 19:58:50 +0000 2020,Neusroom,28701,1,0,,,,"Lagos, Nigeria"
1220435406115758086,2,"@CryptoTwitt0 @alt_libertarian @Hrhong2 @zerohedge The problem with Chinese is they are not very good at managing crises.  I suspect this is not some ""random"" occurrence of virus.  Probably something got leaked from a research center in Wuhan by accident.  Like ASF that wiped out half of the pig population in China the past year.",Thu Jan 23 19:57:30 +0000 2020,cwwang,120,0,0,,,,Undersea World
1220435466081783810,1,"1720: The Great Plague of Marseillle

1820: The First Cholera Pandemic

1920: The Spanish Flu

2020: The Coronavirus Outbreak in Wuhan, China https://t.co/VvQOng5UMP",Thu Jan 23 19:57:44 +0000 2020,forcemarker,260,9,24,,,,In front of a screen
1220435514911793153,1,China's first bio-safety level 4 lab put into operation - Xinhua | https://t.co/NjeAlEmGXP. Guess where? Wuhan. https://t.co/9NPGfKUqiU,Thu Jan 23 19:57:56 +0000 2020,MelissaHBuckner,221,0,0,,,,
1220435538261487617,1,Chinese Lab That Studies  https://t.co/oU1wTcmQOh  PLEASE  READ...THANKS,Thu Jan 23 19:58:01 +0000 2020,stopthatjunk,4111,0,0,,,,
1220435214041743360,3,"Did patient zero really catch new Chinese virus by eating infected bat soup? It’s actually perfectly possible — RT World News https://t.co/r8e7re7lrs 
Lay off the Bat
#pandemic",Thu Jan 23 19:56:44 +0000 2020,wow_milfz,170,0,1,,,,Australia
1220435253883437062,3,"#Wuhan #wuhanquarantine #WuhanCoronovirus #WuhanLockDown China's attrocities against Uyghur Turks will be an OMEN 2china. Consuming rats mice dogs etc.,human beings OUGHT not consume;Karma is a great equalizer; China: swine flu, bird flu, &amp;now Corona virus will wipeout china https://t.co/v8ivoBAeD7",Thu Jan 23 19:56:53 +0000 2020,brownrecluse101,1353,24,40,,,,
1220435082768519170,1,"@onlyyoontv The median age of victims is 75. The coronavirus hasn’t killed young or normal healthy people.

#CoronavirusOutbreak #Wuhan #China #virus #pneumonia https://t.co/rYDUshl099",Thu Jan 23 19:56:12 +0000 2020,CaliCali2000,3885,3,2,,,,California 
1220435162682531842,1,CHINESE LAB THAT STUDIES “WORLD’S MOST DANGEROUS PATHOGENS” IS BASED IN WUHAN https://t.co/cxJ9aFS90B,Thu Jan 23 19:56:32 +0000 2020,JimmyCoyoteLoco,10926,0,0,,,,"Cumberland Mountains, KY"
1220434974442229760,1,Wuhan under lockdown as coronavirus outbreak kills 17 in China https://t.co/clALY0VFhH,Thu Jan 23 19:55:47 +0000 2020,ishiimsyk,537,0,0,,,,日本
1220435022852784128,1,Chinese Lab That Studies “World’s Most Dangerous Pathogens” is Based in Wuhan - https://t.co/OG4Q3Z5s6b,Thu Jan 23 19:55:58 +0000 2020,TheNorthSignal,361,0,0,,,,Canada 🇨🇦
1220434812714078217,1,"International concern has grown with the revelation that the virus spreads not just from animals to people, but between people. Its spread seems to be picking up speed, with some estimating up to 10,000 in China are already infected. https://t.co/vKa0FvJj4g",Thu Jan 23 19:55:08 +0000 2020,Holykisses,79,0,0,,,,
1220434643398418432,1,"The Chinese lie, lie and then lie again – why aren’t we immediately screening for Wuhan Virus at NZ airports? | The Daily Blog https://t.co/cI18K7DQji

#nzpol",Thu Jan 23 19:54:28 +0000 2020,CitizenBomber,6783,0,1,,,,New Zealand
1220434649719230464,1,Snakes could be the original source of the new coronavirus outbreak in China - CNN https://t.co/jyHo0tw6Q7,Thu Jan 23 19:54:29 +0000 2020,mchastain81,31177,1,2,,,,OKC via HOU via CHI
1220434705084043269,3,@biancoresearch Food delivery trucks aren't even allowed to go into Wuhan now from what a contact in Wuhan told me. Entire city is on lockdown by the Chinese military. This is like a fictional pandemic movie. And there's suspicions that this started w people eating bats! https://t.co/nzy8oK4BEX,Thu Jan 23 19:54:42 +0000 2020,JasonEBurack,7044,7,9,,,,DC/Northern VA
1220434532731695107,1,"Hopefully it’s the last thread I am posting.... 

#CCP #coronavirus #animal #frog #yummy #food #China #mainland #中國 #祖國偉大 #祖國 #SARS #wuhan #武漢肺炎 https://t.co/vsFL5PnddY",Thu Jan 23 19:54:01 +0000 2020,AngelChan852,792,2,2,,,,
1220434325860233219,1,"https://t.co/V3xFUC8Mqz

4 new cases of #coronavirus are reported in #Beijing PRC

It appears China has just written off #Wuhan - they ran out of virus testing kits - reporting no new numbers and the military has just sealed off the city of 11 million.",Thu Jan 23 19:53:12 +0000 2020,NaphiSoc,44577,5,4,,,,The Republic of New California
1220434021886447616,1,"🐸🐸🐸🐸🐸🐸 
With a pork shortage, more Chinese folks are turning to other animals for protein. As they dive more into exotic animals, the lesser we know about the impact on humans. frog anyone? ⁣
#CCP #coronavirus #frog #China #mainland #中國 #祖國 #SARS #wuhan #武漢肺炎 https://t.co/HK01S5NWL1",Thu Jan 23 19:52:00 +0000 2020,AngelChan852,792,2,6,,,,
1220434050181222402,2,"China coronavirus: Fears outbreak is linked to bat soup sold at Wuhan market

I think I understand #BatShitCrazy now‼️ https://t.co/RdGb9AMBYw",Thu Jan 23 19:52:06 +0000 2020,motoshwa,22,0,1,,,,Earth
1220434062558494725,1,"@tianlanm Watching how WuHan doctor got nervous breakdown, doesn’t  it remind you Chernobyl? ( the cover-up is also the same) are we still doing Phase II so China can weaponize the virus you’re the world ??? 这跟切尔诺比利不是很像吗？@tedcruz @realDonaldTrump @robert_spalding @SecPompeo",Thu Jan 23 19:52:09 +0000 2020,noahmitchell07,582,0,6,,,,United States
1220433859730427905,1,"Ah yes, the coronavirus. The virus set to destroy the world. All those other viruses that were supposed to do the same thing were just flukes. This one will DEFINITELY be different then Ebola, H1N1, Bird Flu, Swine Flu, SARS, etc. #wuhan #CoronavirusOutbreak #coronavirus #china https://t.co/jwugclo6RX",Thu Jan 23 19:51:21 +0000 2020,WrenchInTheWor1,7,0,2,,,,"Wrenchistan, USA"
1220433694521020416,2,"""It is hoped that shutting down outbound channels of #Wuhan will become a decisive turning point in fight against the virus. Chinese society must stay united in the future. We must win the fight against Wuhan pneumonia, because there is no other choice.""&lt;AND don't blame the #CCP.",Thu Jan 23 19:50:41 +0000 2020,DanGarrett97,5661,0,1,,,,"Counter-hegemonic Resistance in China's Hong Kong
Visualizing Protest in the City https://www.springer.com/gp/book/9789812872357"
1220433704994119680,1,20 Million in lockdown as coronavirus fear grips Wuhan (China) and surrounding cities. https://t.co/VNmDHLIl0a,Thu Jan 23 19:50:44 +0000 2020,6ixbuzztv,38686,0,4,,,,Toronto
1220433707640795136,1,Snakes could be the original source of the new coronavirus outbreak in China - CNN https://t.co/EqVKksO5sl,Thu Jan 23 19:50:45 +0000 2020,KimLaForce3,384,0,0,,,,Somewhere over the rainbow.
1220433753970966528,1,The outbreaks of both the Wuhan coronavirus and SARS started in Chinese wet markets. Photos show what the markets look like. https://t.co/udSdvfa32b via @businessinsider,Thu Jan 23 19:50:56 +0000 2020,jeffs_araujo35,21585,3,16,,,,
1220433515155730432,2,@JackPosobiec @real_Stephanie The communist Chinese are definitely lying. Seal America’s borders. The #coronavirus is 1000X worse than the Chinese are admitting. #wuhan,Thu Jan 23 19:49:59 +0000 2020,Schraz8,539,0,3,,,,ATL
1220433276042608642,2,"Clearly, besides #CCP #statecapture of the #UnitedNations, its capture of the #WHO poses a threat to world security, prosperity and stability. 

#Wuhan #China #Pneumonia #Chinese #governance #Communism https://t.co/XPbqYk92LZ",Thu Jan 23 19:49:02 +0000 2020,DanGarrett97,5661,1,5,,,,"Counter-hegemonic Resistance in China's Hong Kong
Visualizing Protest in the City https://www.springer.com/gp/book/9789812872357"
