id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1280365915058647041,1,New bubonic plague case suspected after covid-19 in China; Alert sounded. https://t.co/3lBt69SIQp,Tue Jul 07 04:59:56 +0000 2020,eduindexnews,11968,0,0,,,,"New Delhi, Delhi"
1280365965188804608,1,"@imacelebrity @jacquelineMjos #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:00:08 +0000 2020,william72766710,10,0,0,,,,
1280366013100384257,2,"@_abdallahe @JunoTecho @Brandon_v85 @tldtoday Point, but chinese not good they kill our soliders for their land Mafia, even call me racist I don't worry, that is ccp virus",Tue Jul 07 05:00:20 +0000 2020,Karthik50064225,54,0,0,,,,
1280366042213158912,1,"@MGMotorIn Fuck off from India, you bloody #ChineseVirus

#BoycottChineseProduct 
#BoycottChineseProducts 
#ChinaThrownOut 
#ChineseVirus 
#ChinaPushedBack 
#IndiaVsChinaGang 
#ChineseProductsInDustbin",Tue Jul 07 05:00:27 +0000 2020,fvrvax,5,0,0,,,,"Makkah Al Mukarrama, Kingdom o"
1280366054972116992,1,"@christidooley5 @NC_Governor Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39%, and that we now have the lowest Fatality (Mortality) Rate in the World. They just can’t stand that we are doing so well for our Country!",Tue Jul 07 05:00:30 +0000 2020,DARDeb1951,7141,0,0,,,,United States
1280366061561544705,1,"China reports suspected case of bubonic plague, warns of ‘epidemic’ risk #pandemic  https://t.co/FrtA4fzuCD",Tue Jul 07 05:00:31 +0000 2020,keshp15,84,0,0,,,,
1280366200267014144,1,"@LachlanYT @TeamPWRgg #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:01:04 +0000 2020,william72766710,10,0,0,,,,
1280366296140374016,1,"@RealHughJackman @yencita09 #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:01:27 +0000 2020,william72766710,10,0,0,,,,
1280366359780753408,1,"Trump leading by example: 
• Refusing to wear a mask
• Pushing a drug that has yet to be
   approved by the FDA
• Knows the calling the Coronavirus
   the “China Virus” is racist but does it
   anyway

https://t.co/KSH9Vwh6iX

#TrumpVirus #TrumpIsLosing #COVID19 #coronavirus https://t.co/RfCABZqaOG",Tue Jul 07 05:01:42 +0000 2020,SchelleShocked,361,0,1,,,,
1280366384694784002,1,"@Luke5SOS #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:01:48 +0000 2020,william72766710,10,0,0,,,,
1280366406433980423,1,"@Jr_LincolnKE So why were they not prepared? They knew what was happening. China wasn't covering up. And in fact, China let the genome of the COVID-19 virus be recognized internationally as soon as it was known within China.

#ItsChineseFault",Tue Jul 07 05:01:54 +0000 2020,Mudenyochief,10893,2,1,,,,Kenya
1280366424142213121,1,"@5SOS @Michael5SOS #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:01:58 +0000 2020,william72766710,10,0,0,,,,
1280366485316096000,1,@MGMotorIn Wow 6 seats. Now you can die in car on fully reclining position due to #ChineseVirus. #BoycottChina . This is chinese company.  How come we dont see any chinese in their ads.   We all have extremely wide choice  than having to buy chinese cars.,Tue Jul 07 05:02:12 +0000 2020,PremsagarST,1,0,1,,,,
1280366504077398017,1,@Joe10123 @Lukebeaulieu @ReallyAmerican1 @realDonaldTrump @US_FDA @TuckerCarlson @FoxNews 😂Kung flu is good word play and it’s funny. Saying something bad about China isn’t racist only idiots make that leap.,Tue Jul 07 05:02:17 +0000 2020,ForsytheWalter,40,0,4,,,,
1280366600982388736,1,"@CodySimpson #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:02:40 +0000 2020,william72766710,10,0,0,,,,
1280366629340286977,3,"Ban Chinese social media apps that made the trump campaign look bad 

Yet no sanctions on government officials from the country the regime blames for a virus that killed 130k Americans https://t.co/JHSfC4s22m",Tue Jul 07 05:02:47 +0000 2020,threepeaksexp,997,0,0,,,,Earth
1280366644640923654,1,@nzherald It depends if China releases it from Wuhan lab I guess.,Tue Jul 07 05:02:50 +0000 2020,marydsoco,934,0,0,,,,"Auckland, New Zealand"
1280366650605178881,2,"@MarilynMoncal Why don't you blame China for the virus?  It originated there because of the Chinese Communist party's despicable behavior.  Furthermore, they kept the virus a secret until it spread enough to disrupt the economies of every country in the world.",Tue Jul 07 05:02:52 +0000 2020,Minka51150356,12368,1,3,,,,
1280366658230468608,1,"@chrishemsworth #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:02:54 +0000 2020,william72766710,10,0,0,,,,
1280366695819821057,1,Haha it's like your new Pakistan licks your ass its Chinese communist virus free Tibet free Hong Kong happy birthday to Dalai Lama. https://t.co/6vZwhRET3J,Tue Jul 07 05:03:03 +0000 2020,fewwords03,1,0,0,77.095086,28.638489500000002,"New Delhi, India, India","Haridwar, India"
1280366724953640960,1,"#TrumpVirus
I believe it’s supposed to be the #ChinaVirus but yeah let’s blame everything on trump.",Tue Jul 07 05:03:09 +0000 2020,The_SWM1776,18,1,0,,,,
1280366770570682368,1,@KamalaHarris There's nothing racist about calling the virus the China virus so get over yourself,Tue Jul 07 05:03:20 +0000 2020,DwightDavidDAN1,129,0,0,,,,
1280366855002058752,1,"@pedroalfonsoo @FlowContenidos #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:03:40 +0000 2020,william72766710,10,0,0,,,,
1280366909213433856,1,"@KyrieIrving #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:03:53 +0000 2020,william72766710,10,0,0,,,,
1280366912518541313,3,"All Credit goes to Indian army 🇮🇳

We salute all Indian army who fight with 2 killers.
1. C hi na
2. C oro na

Really brave army who fights with China without considering deadly virus #Corona

🇮🇳 Jai jawan ✴️ Jai Kisaan 🇮🇳

@INCKarnataka @INCIndia @BJP4India @BJP4Karnataka",Tue Jul 07 05:03:54 +0000 2020,mpasha_official,10,0,0,,,,"Kanakapura, Karnataka"
1280366954276990978,1,"@Sia #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:04:04 +0000 2020,william72766710,10,0,0,,,,
1280367042814554112,1,"@MrPeterAndre #MilesGuo disclosed #CCP's evil plan 3 years ago! #CCPvirus/#Coronavirus outbreak could have been avoided and hundred of thousands of lives could have been saved if the world listened to him!! WATCH THIS VIDEO📌 #Whistleblowermovement #TakeDownCCP 
https://t.co/vrYdCUtKwy",Tue Jul 07 05:04:25 +0000 2020,william72766710,10,0,0,,,,
