id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1270506092527788032,1,"If there’s another spike and it kills off all these troglodites, I will actually forgive the Chinese. https://t.co/d9x0RPmxVf",Wed Jun 10 00:00:31 +0000 2020,messiah_of_kek,158,0,2,,,,United States
1270506349034496000,2,"Crime of Xi Jinping
NEW CORONAVIRUS MADE IN WUHAN
CHINA'S CORONAVIRUS KILLED MANY PEOPLE
TIBET MASSACRE
UIGHUR MASSACRE
BEIJING'S NEW HONG KONG SECURITY LAW
ILLEGAL MILITARY BASE OF SOUTH CHINA SEA
#Xijinping #China #coronavirus https://t.co/WBTvNpwA7u",Wed Jun 10 00:01:33 +0000 2020,mochablend7,5669,0,0,,,,
1270506531897765892,2,No shit... 🙄 Chinese lied and everyone’s shocked. https://t.co/IPfjtYCTaX,Wed Jun 10 00:02:16 +0000 2020,Spacedonkey1,3101,0,11,,,,"Alberta, Canada"
1270506547332829185,2,"Actual scientific experts who have studied bat coronaviruses in China for 15 years explain how it happened.
Ignore the conspiracy theories: scientists know Covid-19 wasn't created in a lab

https://t.co/XgjMtu0ncy",Wed Jun 10 00:02:20 +0000 2020,SecombMichael,206,0,0,,,,
1270793734997913604,1,@benshapiro Ice cube is a stupid niger period and Hates all jews !!!! If you hate Jews you are a racist. Ice cube = Racist #DanielSalcedo #COVID19 #coronavirus #China #BlackintheIvory #BlackLivesMattters #Democrats,Wed Jun 10 19:03:31 +0000 2020,Mattov7nov,783,0,0,,,,United States
1270793803822247937,1,@realDonaldTrump donnie donnie donnie..once held accountable for doing nothing for 3 mths but jet setting rallys/golfing/saying virus will disappear etc..praised china for transparency..incompetent response when finally doing something costing 110k+ US lives you give a conspiracy theory as excuse,Wed Jun 10 19:03:47 +0000 2020,Portrait1Artist,892,1,5,,,,USA
1270793851616321540,1,"Surprise, surprise! #ChineseCommunist lies! 
EU says China behind 'huge wave' of Covid-19 disinformation

https://t.co/xZ6uUn1GaT",Wed Jun 10 19:03:59 +0000 2020,redand51ue,486,0,0,,,,london
1270793913167761411,2,"@JoeBiden Your willful silence on all this being due to China is deafening. Are you and Hunter still getting paid off by the Chinese? Is that why you won't call out China for causing this worldwide pandemic? 

#NeverBiden",Wed Jun 10 19:04:13 +0000 2020,CitizenRSS,1658,0,0,,,,
1270794088955154434,1,@WIONews @palkisu The whole world accusing China of cooking up the #COVID__19  in some #Wuhan factory but China is still in a denial mode &amp; preparing for War.,Wed Jun 10 19:04:55 +0000 2020,AkhandBharat28,716,0,0,,,,India
1270794099310899201,1,If a lawyer sells enough influence to get caught he turns to politics for big money selling influence to higher ups. That’s Bloomberg’s goal with a Securities Exch Radio Station $60 billion and deep hatred for Trump along like contacts in Wuhan China with Chinese Communist Party. https://t.co/jCa8JKHDQn,Wed Jun 10 19:04:58 +0000 2020,carminepriccajr,91,0,1,,,,"Florida, USA"
1270794181384925184,1,"@CFurrever Unfortunately, these hashtags spread hurtful generalizations about anybody who “looks Chinese,” including frontline workers who risk their lives to keep us safe. Let’s call it “COVID-19” and fight this virus together. Here's how: https://t.co/3Cl5PcstSS https://t.co/7SxufuSLh7",Wed Jun 10 19:05:17 +0000 2020,Respond2Racism,1219,0,0,,,,
1270794270815842304,1,Democrat governor 'can't imagine' telling protesters to stay home during the China coronavirus. Says public shouldn't 'ignore systemic racism',Wed Jun 10 19:05:39 +0000 2020,Bryan700,39332,0,0,,,,San Francisco Bay Area
1270794317599248385,1,"Beijing’s Revenge? Two Pro-China Communist Parties Coordinate Violent US Protests https://t.co/I9IfB6C8qc
 
Download The Epoch Times app to see our exclusive CCP virus coverage and daily updates:https://t.co/oHgCi2ahtQ",Wed Jun 10 19:05:50 +0000 2020,waynemoran_inc,23893,0,0,,,,"Minneapolis/St. Paul, MN"
1270794370149646337,1,*27 CITIES* &amp; COUNTING (ALL DEMOCRAT) IN ANARCHY / FLAMES &amp; MULTI-DEAD &lt;COPS &amp; INNOCENT&gt; ALL PLANNED &amp; ORGANIZED (BY DEMS) &gt; IN *SYNC* W/ *CCP* CV19 *LAB CREATED* &amp; *LOCK-DOWN* (ALL) TO CREATE CHAOS / ANARCHY PRE-ELECTION! *DEMS* EXPOSED THEIR *NWO* CONTROLLING AGENDA &gt; DESPERATE https://t.co/15aP1ioNwz,Wed Jun 10 19:06:02 +0000 2020,HIMENDTIMES,89,0,0,,,,"Los Angeles, CA"
1270794404865941504,1,@seanhannity *27 CITIES* &amp; COUNTING (ALL DEMOCRAT) IN ANARCHY / FLAMES &amp; MULTI-DEAD &lt;COPS &amp; INNOCENT&gt; ALL PLANNED &amp; ORGANIZED (BY DEMS) &gt; IN *SYNC* W/ *CCP* CV19 *LAB CREATED* &amp; *LOCK-DOWN* (ALL) TO CREATE CHAOS / ANARCHY PRE-ELECTION! *DEMS* EXPOSED THEIR *NWO* CONTROLLING AGENDA &gt; DESPERATE,Wed Jun 10 19:06:10 +0000 2020,HIMENDTIMES,89,0,0,,,,"Los Angeles, CA"
