id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1234376977273851904,1,"@billbirtles @AndrewBGreene Where's all the very detailed Indian ocean seabed mapping data gathered by the Australian, ?ex military officer? led Malaysia Airlines Flight 370 search.

Of course China wants that info just like north of PNG.

If our military haven't already got SCS data they should be sacked.",Mon Mar 02 07:16:19 +0000 2020,FutureNotPast,298,0,0,,,,Australia 
1234376998790684672,2,@ChinaInFocusNTD Economic warfare using hyped/faked leaked footage of a pandemic? China US trade deal 1st part signed? Corona virus before 2nd part? Canada desperately stalls USMCA? US India trade deal quickly signed? All US trade deals includes similar clauses to 22 ad 27? Think of China and 22? https://t.co/TuSLrPsS4Y,Mon Mar 02 07:16:24 +0000 2020,Trolls4Truth,1264,0,1,,,,In your head!!!
1234377021578366977,2,Absolutely and Trump new it s month even before that It’s been deliberately withheld by China dictator and Trump   trumps ego and total stupidity utter stupidity https://t.co/a4E4hk7xqA,Mon Mar 02 07:16:30 +0000 2020,SullivanMonty,1392,0,0,,,,Southern California
1234377055321485312,1,@TrizzyTori The death rate of swine flu was only 0.02/0.03% and infected like 60 million people but this flu is way worse. We’ve seen what it did to China and Italy. Schools and businesses are shutting down... incubation period is so long so it’s way harder to control,Mon Mar 02 07:16:38 +0000 2020,ChloeMorello,150886,0,7,,,,Los Angeles
1234377084018909184,1,Chinese man sentenced to death for killing officials who stopped him at a coronavirus checkpoint #China #Wuhan #Yunnan #Coronavirus #Covid_19 #CoronaVirusUpdate #COVID #COVID19 #COVID2019 #CoronavirusOutbreak https://t.co/1DGntu2ijy,Mon Mar 02 07:16:45 +0000 2020,PigeonExpress_,1541,1,3,,,,online
1234377091912740864,1,I never saw so many pictures from China They have cheap radiation suits on If that isn’t a HOAX Then I’m a monkeys uncle LOL 👎😀🇺🇸 https://t.co/gB5KwJBdAo,Mon Mar 02 07:16:46 +0000 2020,StevenMovit,7378,0,0,,,,"Derry, NH"
1234377117284143104,1,"1/n
#CoronaVirusOutbreak
#WORLDWAR Launched by #CoronaVirus

#Global Challenge &amp; Threat : Collective Enemy of Humanity ; #Coronavid19

1. #China : 2,442 deaths &amp; 76,936 cases in Mainland.
2. #US : Second Death from Virus, 88 cases Identified.
3. #France : Confirmed cases 73.
4..",Mon Mar 02 07:16:53 +0000 2020,LtGenGurmit,18383,4,21,,,,"New Delhi, India"
1234377250792824832,1,"DEMOCRATs were Busy trying to IMPEACH our President in JANUARY. 
MEDIA  democrats are LYING. 
President TRUMP did do something about ""Out Break in China CORONAVIRUS. It was spreading. 
P/ TRUMP "" TOOK ACTION.!
Unlike NANCY PELOSI who was trying to IMPEACH our President.. https://t.co/3rCTDryxlU",Mon Mar 02 07:17:24 +0000 2020,RhondaGiannell1,1792,0,0,,,,"Moorpark, CA"
1234377277791588352,1,» China cracks down on 'sexual innuendo' and 'celebrity gossip' in new censorship rules | The Guardian https://t.co/Llm6MU13t9,Mon Mar 02 07:17:31 +0000 2020,Edourdoo,15427,2,2,,,,"Shanghai, China"
1234377284586332160,2,"Parliament: SAF to restructure to deal with cyber, terrorism, maritime threats: The US Department of Defence has made it clear that the Indo-Pacific - the region Singapore is in- is now its priority theatre because of China, whom ... https://t.co/fBcnoXv135 #war #terrorism",Mon Mar 02 07:17:32 +0000 2020,ultrascanhumint,3452,1,0,,,,
