id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1264707768382095364,1,"US military faces down two challenges in western Pacific: COVID-19 and China 
https://t.co/qjew7JXHga https://t.co/Tv7vMnC3sK",Mon May 25 00:00:03 +0000 2020,AmerMilNews,17644,3,4,,,,USA
1264707862619656192,1,"#Trump to WHO: #WHO Has 30 Days to Improve or US Won’t Pay #CCP Virus  #COVID19 #Coronavirus
https://t.co/XHHok8XStg",Mon May 25 00:00:26 +0000 2020,chasingman,198,0,0,,,,Somewhere in The USA
1264707893884071943,1,Racist incidents against Africans in China amid coronavirus crackdown spark outcry https://t.co/kDfyMWLGtN https://t.co/bbTCMCJSQT,Mon May 25 00:00:33 +0000 2020,votingwhileblak,54,0,0,,,,United States
1264707941141282816,1,China says United States is ‘on the brink of a new Cold War’ with them over the coronavirus https://t.co/RihbSnmNW1,Mon May 25 00:00:44 +0000 2020,EINCentrEurope,1288,0,0,,,,"Washington, D.C."
1264707949546532869,1,"* Sporting events at 50% capacity to be allowed in MGCQ https://t.co/2iQI0PYEKv

* The Chinese virology institute in Wuhan has 3 live strains of bat coronavirus on-site, but none match the #COVID19 strain spreading across the world, its director has said. https://t.co/4E8YL0GACH",Mon May 25 00:00:46 +0000 2020,ABSCBNNews,7023103,2,5,,,,"Manila, Philippines"
1264707955787694080,2,Coronavirus: Trump aide claims China guilty of cover-up akin to Chernobyl https://t.co/uwvhPx6MhQ,Mon May 25 00:00:48 +0000 2020,masteradrian,1209,0,0,,,,Amsterdam
1264708151812579328,1,"Will you pay a tax on the CCP Flu?
https://t.co/dnHoF2CS1I",Mon May 25 00:01:35 +0000 2020,TheSaxon10,583,0,0,,,,"Alberta, Canada"
1264708168627548160,1,How much sacrifice will this world have to pay to see the facts? China is not a friend! No one should embrace China. https://t.co/rfhs6zMw4t,Mon May 25 00:01:39 +0000 2020,12emma30,2988,13,38,,,,
1264708189343408129,1,"You @chenweihua #Chinazi dog, will be put on court soon for supporting the #CCPVirus
Good job Sir @MarciAnneC ! https://t.co/jcdB0kCzR6",Mon May 25 00:01:44 +0000 2020,AlimBughra,466,0,0,,,,
1264708190681223168,2,Here is her other Chinese Bat Soup Flu mask.  Wears in to special occassions https://t.co/DPtGM1llTk https://t.co/r388hd0jU7,Mon May 25 00:01:44 +0000 2020,LeftBiasedMedia,483,0,0,,,,"California, USA"
1264708236575256576,1,China five-year plan to focus on independence as US decoupling threat grows https://t.co/mZLrpXMZE0 via @scmpnews,Mon May 25 00:01:55 +0000 2020,CitizensIntel,42778,0,0,,,,USA 
1264708275053813761,2,Chinese Gov: Just not the world killer version. That one just happened out at the market randomly 17 miles down the road. Nothing to do with us. Vote Biden 2020 We pay for his Election. Go eat Chinese food. Thanks @SpeakerPelosi https://t.co/mZlAwfxRwX,Mon May 25 00:02:04 +0000 2020,BlazeBrandMan,1363,0,0,,,,"Los Angeles, CA"
1264708367081074688,1,@news_ntd @jenniferatntd @Taiwan_CDC #Australian Scientist say NO definitive data that excludes the possibility #COVIDー19 was from a lab &amp; research must continue into origins Video in link Flinders University #Auspol #WuhanCoronaVirus #CoronaUpdates #coronavirus #ChinaLiedPeopleDie https://t.co/FhNLN0RFig,Mon May 25 00:02:26 +0000 2020,nomutedwords,256,0,0,,,,Australia
1264708485834584072,1,2/23 Kadlec sees email about coronavirus in China a symptomatic &amp; uS do nothing. No planning for public. Fuck Trump!,Mon May 25 00:02:54 +0000 2020,jkcosmos,1225,0,0,,,,"Cambridge, Massachusetts"
1264708518822674433,2,"#CCPVirus #Response
Baltimore, MD
March 28 2020

Spc. London McRae, a truck driver with the Maryland Army National Guard's 1229th Transportation Company, moves a box containing bedding and medical supplies.

BLOG https://t.co/OtkDeE1i5z

qt-cvresponse-166 #borderObserver https://t.co/mdq6pcKzzp",Mon May 25 00:03:02 +0000 2020,covid19autostat,16,0,0,,,,United States
1264708572497281026,1,"Trump Tweets and Golfs, but Makes No Mention of Virus’s Toll https://t.co/P4Ai64gftu NDP billionears Leader bloody Hans Baby Killers 60millions. Hipocrits. Don’t care. Ask China Virus Dead. Meat Head. Repent. Lake of Fire bloody baby’s killers. Messiah Very Close. Best P V PJesus",Mon May 25 00:03:15 +0000 2020,edwinrubero1,10,0,0,,,,
1264708677807693824,1,"@JaneCaro @DanielAndrewsMP So Australia gets shafted by China for sponsoring Covid-19 enquiry at USA's request, we lose barley exports among other sanctions, and USA picks up exports to China with subsidised barley. Yet we are in the wrong. Who needs friends like the USA.",Mon May 25 00:03:40 +0000 2020,eedc02601fa4461,21,0,0,,,,
1264708690508165120,1,"@FLOTUS ""China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!"" - @realDonaldTrump",Mon May 25 00:03:43 +0000 2020,speechless299,366,2,2,,,,
1264708919705972736,1,"@morningmika Why was your brother on China run TV in October 2019, when the virus broke out &amp; hidden by China???

He boasted about China &amp; your father's personal relationship with President Xi while bashing America, @realDonaldTrump &amp; US Military.
#CoronaVirus
https://t.co/bWzUkRFArW",Mon May 25 00:04:38 +0000 2020,KAMasciarelli,999,0,1,,,,God's Country Texas
1264708997745180672,1,China says United States is ‘on the brink of a new Cold War’ with them over the coronavirus https://t.co/Bsh8IEfcOg,Mon May 25 00:04:56 +0000 2020,kenlawcrisa,983,0,0,,,,
1264709022327816192,2,Coronavirus: Trump aide claims China guilty of cover-up akin to Chernobyl - The Guardian https://t.co/CPcnAmzwY6 https://t.co/Tq3a9ghNoC,Mon May 25 00:05:02 +0000 2020,Covensure,137,0,0,,,,"Michigan, USA"
1264709323348795397,1,"Before Demanding Access To China’s Wuhan Lab, US Should Lift Veil On Its Secret Bioweapon Labs All Over The World: https://t.co/SQjApKW3eU #USA #America #Russia #Europe #EU #DeepState #MAGA #Australia #Propaganda #Trump #Pompeo #China #Wuhan #Coronavirus #Covid19 #Breaking #News",Mon May 25 00:06:14 +0000 2020,standtallnroar,400,3,2,,,,
1264709339702415360,1,It is really sad to see someone said the protesters are liars and try to show the world the ‘truth’ and those ‘truth’ just lean to the government. Could they be more neutral if they call someone liar? The ‘Truth’ is Hong Kong and The World are suffering from the CCP. #WuhanVirus,Mon May 25 00:06:18 +0000 2020,TangHoiYan,15,0,0,,,,Hong Kong
1264709498306023426,1,"A few weeks ago, BLACK AND AFRICAN PEOPLE IN CHINA were subject to racism, prejudice, discrimination and segregation. 
We believe you’d say anything to secure African natural resources. 
It’s fake. Hypocrite. Pathetic. You should be ashamed of yourselves. Africa doesn’t need🇨🇳! https://t.co/lH14MTP5ep https://t.co/loXqRrpH52",Mon May 25 00:06:56 +0000 2020,emperorghengis,18,0,0,,,,The Sun Is Always Bright Here.
1264709500931538952,3,@realDonaldTrump NO WAR! CHINA IS NOT TO BLAME. WE ALL ARE! EVERYONE IS TO BLAME FOR THE #COVID19 #pandemic AND ALL THE OTHER SOCIAL ILLS. PEACE AND COOPERATION IS THE ONLY WAY TO GO! NO MORE FIGHTING! NO MORE MONEY WASTED ON THE PURSUIT OF VIOLENCE!,Mon May 25 00:06:56 +0000 2020,JustinKrane1,75,0,0,,,,"North York, ON, Canada"
1264709578958098437,1,"China five-year plan to focus on independence as US decoupling threat grows
https://t.co/nZ6l0kDdrS",Mon May 25 00:07:15 +0000 2020,MMLCResearch,390,1,0,,,,Beijing| Brisbane| HK| London
1264709596729487375,1,@realDonaldTrump Its really tells you a lot about Democrats using COVID-19 create biggest Scam steal election with little help by their friends Chinese government on election year,Mon May 25 00:07:19 +0000 2020,bobby64gmail1,3727,0,0,,,,
1264709983066873859,1,"We're all gonna die!
The new cluster of infections in China shows signs the coronavirus could be changing https://t.co/eqbyOcevCd via @business",Mon May 25 00:08:51 +0000 2020,WilsonsFeet,175,0,0,,,,somewhere but not here
1264710123206909954,1,"The #WuhanVirus?  BLAME CHINA!  The unemployment?  BLAME CHINA!  100K dead? 😂😂😂 NOT hardly!  BS numbers they're putting out are BOGUS &amp; anyone with HALF a brain knows this, which means they are NOT one of YOUR viewers!  Oh &amp; --&gt; #LoriKlausutis &lt;-- isn't going away! #BoyToyJoe https://t.co/4RUseOJjAl",Mon May 25 00:09:25 +0000 2020,Angelicanang,5347,2,4,,,,Texan Residing in Okla.
1264710181226598400,1,#ICYMI Too busy blaming China  #COVID_19 #coronavirus https://t.co/dNkQQII8Gn,Mon May 25 00:09:39 +0000 2020,Ochirkhuu9,45,0,0,,,,Mongolia
1264710192987549697,1,"@thehill Dotard Tunt removed CDC staff from inside China, ignored warnings, played golf, cheated on Malaria &amp; ranted endlessly on Twitter while Americans died...

Dotard's Body Count 97,992.
#MAGAVirus 

 https://t.co/353U9SyLpJ",Mon May 25 00:09:41 +0000 2020,RFrumpf,3121,0,0,,,,
1264710235396009984,4,"@globaltimesnews You lied.  So, you do have ""Bat Soup"" in your lab.  #Chinaliespeopledie.

https://t.co/2ZJDZibW3C",Mon May 25 00:09:51 +0000 2020,CICEROKID,158,0,0,,,,"Seattle, WA"
1264710435762245634,1,"This is me ... Happy &amp; Carefree ... Knowing I have an immune system full of T-cells fighting off #CCPvirus for me!

#NoMask4Me
#Covid19
#FreedomOverFear
#ConstitutionOverCoronavirus 
#MAGA @realDonaldTrump https://t.co/NlVSSSaJfj",Mon May 25 00:10:39 +0000 2020,LibertyBelleLiz,153,0,1,,,,"Atlanta, Georgia"
1264710449540608011,1,"China is so full of shit. 

China tells U.S. to stop wasting time in coronavirus battle

https://t.co/IBWnp0n66p",Mon May 25 00:10:43 +0000 2020,BREEZY_A_BOSS,627,0,0,-86.66953699999998,33.647819,"Center Point, AL, United States","Birmingham, AL"
1264710610928852992,1,"The Most Patriotic Thing You Can Do Right Now Our nation is rising, however imperfectly, to meet the challenge posed by the coronavirus pandemic. That needs to be said more often.

By The New York Times Editorial Board  https://t.co/I2iTTccPg5",Mon May 25 00:11:21 +0000 2020,stufalk,1632,0,0,,,,"Los Angeles, California"
1264710786066157568,1,"@nowthisnews @Cmusiclover @QasimRashid TRUMP AND CHINA  COOK  THE CORONAVIRUS TO
KILL  THEIR CITIZENS  FOR WORLD DOMINATION!!!
INTERNATIONAL COURT MUST PROSECUTE THEM
TO  PRISON FOR LIFE AND CONFISCATE THEIR ASSETS
TO  COMPENSATE THE FAMILY OF THE PEOPLE THEY
MASSACRED!!!!  Retweet",Mon May 25 00:12:03 +0000 2020,lizzbeth5301,3223,0,0,,,,United States
1264710797109985282,1,"Ppl talking about a #Biden gaffe.  Lose w/#TRUMP 👇🏾

The latest overall COVID-19 mortality rate for Black Americans is 2.4 times as high as the rate for Whites and 2.2 times as high as the rate for Asians and Latinos.

1 in 2,000 Black Americans has died (or 50.3 per 100,000)",Mon May 25 00:12:05 +0000 2020,iRhysTay,4723,1,0,,,,"Nightmare, USA"
1264710811668418560,3,"#ChinaLiedAndPeopleDied  #TrudeauLiedPeopleDied #WHOLiedPeopleDied #coronavirus #Wuhan #mainlandChina

#Lion, #bat and #pangolin off the menu as #Chinese city of Wuhan bans consumption of #wild #animals 

https://t.co/yqYX7HAywf",Mon May 25 00:12:09 +0000 2020,OhNo23719179,5,0,0,,,,
1264710876050763777,1,Anonymous Message On Chinese Government's CoronaVirus (COVID-19) Cover-up https://t.co/UZw5LcveWI @YouTubeより https://t.co/KAeldSznKM,Mon May 25 00:12:24 +0000 2020,keywest28749015,3756,3,9,,,,
1264711028203565057,2,"Because your buddies at CCP covered up truth of COVID19, silenced 8 Wuhan docs, kicked NYT &amp; other media out &amp; enabled Tadros- WHO to soft pedal virus. https://t.co/MSfz4vknzF",Mon May 25 00:13:00 +0000 2020,ppb49,1849,0,0,-96.8300925,46.86488250000001,"Fargo, ND, United States","North Dakota, USA"
1264711187939328001,1,AMERICAN MILITARY NEWS reported: US military faces down two challenges in western Pacific: COVID-19 and China  https://t.co/D2heEI0E17,Mon May 25 00:13:39 +0000 2020,ZENINEWS,102306,0,1,,,,United States
