,Unnamed: 0,tweet_link,tweet,raw_label1,labeler_id1,raw_label2,labler_id2,raw_label3,labeler_id,secondary_label,additional_notes,label
0,0,https://twitter.com/edent/status/1222781803057963008,"#WuhanCoronavirus
 

 Hey #china Stop eating rodents, flying rodents, dogs, and other filthy animals you communist bastards! Signed: Rest of the World. #coronarvirus #WuhanVirus #Wuhan #filthy #pandemic #WuhanCoronavirus #WuFlu",stigmatizing - medium,101,not stigmatizing,4.0,stigmatizing - medium,102.0,Wet market and eating habits,"** general baseline note, anything relating chinese bats/eating animals and covid19 is minimum low stigmatizing",stigmatizing
1,1,https://twitter.com/edent/status/1243619479243960328,"""#Coronavirus has finally made us recognise the illegal #wildlife trade is a #publichealth issue' - ""Eating half dead cats ; dogs, covered in blood ; faeces isn't natural or #healthy."" URL #COVID19 #AnimalCruelty #China #Wetmarkets #AnimalRights",not stigmatizing,101,stigmatizing - low,14.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
2,2,https://twitter.com/edent/status/1228363546750177280,Corona virus' originate in mammals and that has nothing to do with a lab who publishes on bat corona virus accidentally leaking the virus. Believing that one wet market was the origin out of the thousands in China when the main lab is right around the corner is willful ignorance.,not stigmatizing,101,stigmatizing - low,12.0,not stigmatizing,102.0,Bio-weapon;Wuhan virus lab,,not stigmatizing
3,3,https://twitter.com/edent/status/1266122844653654017,"We supported yall when people blamed ANY asian group for coronavirus and blamed yall for eating exotic animals. We fought sgainst white people calling it “kung flu”. We supported you when one of your own was killed by police. Now when we are DYING, you say “good luck”.",not stigmatizing,101,stigmatizing - low,7.0,not stigmatizing,102.0,Information or misinformation;Wet market and eating habits,,not stigmatizing
4,4,https://twitter.com/edent/status/1228127397121331200,"URL
 No more exports of dogs or cats to countries who do not have humane laws for animals! China is killing all dogs and cats, estimated 50,000 bludgeoned in cruel manner. Please sign/share!",unknown/irrelevant,101,stigmatizing - medium,12.0,unknown/irrelevant,102.0,Information or misinformation;Wet market and eating habits,,not stigmatizing
5,5,https://twitter.com/edent/status/1244384259177156609,"I hope. I have to see it to believe it. China lies ; is full of propaganda. China ; Asia need to stop eating dogs ; cats! It’s not healthy, diseased, have rabies, create antibiotic resistance. Eating dogs is uncivilized ; how they treat them is barbaric. 
 URL",stigmatizing - low,101,not stigmatizing,14.0,stigmatizing - low,102.0,Wet market and eating habits,,stigmatizing
6,6,https://twitter.com/edent/status/1234927888358572032,"Yeah, them, China or both. My friend J, and I were talking about this possibly being “biological warfare”. Trump be on stage talking shit to his crazy followers while Russia and China could be doing shit...Crazy, evil shit. 🧐 👇🏾
 URL",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Bio-weapon;Donald Trump,,stigmatizing
7,7,https://twitter.com/edent/status/1251016861547823104,"This is the Bullshits from the China communist party. The truth is the Wuhan virus was leaked from the P4 lab in Wuhan and the Chinese govt used WHO to cover up for them, Not sure how much they paid WHO chief. URL",stigmatizing - medium,101,not stigmatizing,7.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP);International politics,WHO,stigmatizing
8,8,https://twitter.com/edent/status/1234877223473164290,"What’s sad? #CCP creating #coronavirus in a #Wuhan lab, covering it up. #WHO’s #CarrieLam #HKgov aiding and abetting, leading to undue suffering, loss, and death. I can hardly blame outsiders for looking at my #Asian face and walking away. I myself react the same way.",stigmatizing - medium,101,not stigmatizing,13.0,stigmatizing - medium,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
9,9,https://twitter.com/edent/status/1236297883239907328,"To protect her global image, #China concealed the truth of the #COVID19 by purpose.If the CCP has allowed greater transparency, the world could’ve taken better measures to fight the deadly #WuhanVirus. 
 

 China should take the blame for the widespread community outbreak the virus. URL",stigmatizing - low,101,not stigmatizing,13.0,stigmatizing - low,102.0,Chinese government (Chinese communist party - CCP),,stigmatizing
10,10,https://twitter.com/edent/status/1221879259054120961,"Young man’s fear ; frustration living under Chinese communist regime during coronavirus outbreak👇🏼
 Makes our petty little impeachment BS look ridiculous. We have such a great nation! Better stand up to statism ; tyranny or we will lose our own freedom. #HolocaustMemorialDay #2A URL",not stigmatizing,101,stigmatizing - low,18.0,not stigmatizing,102.0,Chinese government (Chinese communist party - CCP),,not stigmatizing
